question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,larry smith,0.0,0.0,,916,3,958,1.3907887919340283,1.536290334071964,0,30,0,0,,
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,Morris Mike Medavoy,0.0,0.8,,1003,5,1055,1.3907538750208914,1.8354445409495384,0,30,0,0,,
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,nuevo laredo,0.0,0.0,,905,3,936,1.3868863331153989,1.853327084099874,0,30,0,0,,
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,No paths found.,0.0,0.0,,4073,4,4118,1.385857833083719,1.5626823341008276,0,30,0,0,,
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,bombardier inc.,1.0,1.0,,1305,4,1357,1.3896181657910347,1.5933520409744233,0,30,0,0,,
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,Fletcher Webster,1.0,1.0,,940,3,978,1.3889463748782873,1.596158416941762,0,30,0,0,,
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,anne of austria,0.0,0.0,,1068,4,1107,1.3883387921378016,1.6439892500638962,0,30,0,0,,
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,promoting European integration and disseminating information about it,0.0,0.4,,1011,8,1058,1.3870665410067886,1.5280277919955552,0,30,0,0,,
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,adelphia communications corporation,0.0,0.0,,1010,3,1049,1.344213292002678,1.4520853341091424,0,30,0,0,,
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,No paths found.,0.0,0.0,,994,4,1044,1.3849836671724916,1.4859840420540422,0,30,0,0,,
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,Lega Pro,0.0,0.6666666666666666,,1173,3,1226,0.25110329198651016,0.7839427499566227,0,30,0,0,,
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,The Anderson Tapes,1.0,1.0,,1121,4,1170,0.22356312489137053,0.6765075828880072,0,30,0,0,,
q_12,In which borough was Callum McManaman born?,Knowsley,Knowsley,1.0,1.0,,4201,2,4244,0.2526784169021994,0.8156797920819372,0,30,0,0,,
q_13,What other county does the county where Imperial is located share a border with?,Crockett County,No paths found.,0.0,0.0,,1016,4,1067,0.23673825012519956,0.8596422499977052,0,30,0,0,,
q_14,In what county is William W. Blair's birthplace located?,Orleans County,No paths found.,0.0,0.0,,1743,4,1793,0.22496183402836323,0.737719041062519,0,30,0,0,,
q_15,What award did the author of The Red Tree receive?,Academy Award for Best Animated Short Film,No paths found.,0.0,0.0,,1035,4,1084,0.2287363330833614,0.8121892500203103,0,30,0,0,,
