question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,gail zappa,0.0,0.0,,34789,4,34837,3.3510283750947565,2.7840757919475436,21,30,1,3,green,green
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,Morris Mike Medavoy,0.0,0.8,,30561,5,30607,1.9808765419293195,2.18566987500526,24,30,5,3,"uhf (film), orion pictures, tulsa, oklahoma, midnight fm, bluebox limited films",uhf
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,tamaulipas,1.0,1.0,,3801,3,3838,1.07549212500453,1.4045387499500066,15,30,1,3,ciudad deportiva,ciudad deportiva
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,chicago,0.0,0.0,,8067,2,8117,0.9318800838664174,1.664444792084396,20,30,1,3,ulrich walter,ulrich walter
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,pratt & whitney canada,0.0,0.0,,2069,6,2121,1.038262375164777,1.3577070420142263,15,30,5,3,"learjet, pw305a, bombardier inc., avro rj70, avro rj100",learjet 60
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,herman leroy,0.0,0.0,,51951,4,51991,6.588281417032704,1.9896763749420645,18,30,5,3,"leroy, herman leroy, le roy, caroline leroy webster, breton ar roue",caroline leroy
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,marie amalie of bourbon-sicilies,0.0,0.2857142857142857,,52356,9,52412,6.030223582871258,2.576721000019461,19,30,5,3,"philippe i, duke of orléans, philippe ii, duke of orléans, philippe, louis philippe, françois d'orléans, prince of joinville","philippe, duke of orl&#233;ans"
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,promoting European integration and disseminating information about it,0.0,0.4,,328,8,365,0.8934817921835929,1.279687374830246,2,4,1,3,european movement germany,european movement germany
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,Adelphia Communications Corporation,0.0,0.0,,31364,5,31411,2.1257681250572205,1.6651255830656737,14,30,1,3,empire sports network,empire sports network
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,niassa province,0.0,0.4,,3499,3,3531,0.8871323331259191,1.3316606250591576,20,30,1,3,lago district,lago district
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,lega pro,0.0,0.6666666666666666,,14808,2,14861,0.4896706659346819,1.2152006251271814,26,30,1,3,stadio ciro vigorito,stadio ciro vigorito
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,the anderson tapes,1.0,1.0,,569,4,620,0.5173830001149327,0.8589620420243591,4,7,1,3,the timothy files,the timothy files
q_12,In which borough was Callum McManaman born?,Knowsley,metropolitan borough of knowsley,0.0,0.4,,7668,6,7719,0.5497845420613885,0.8298352500423789,20,30,1,3,callum mcmanaman,callum mcmanaman
q_13,What other county does the county where Imperial is located share a border with?,Crockett County,crockett county,1.0,1.0,,21820,4,21869,0.9736714160535485,1.4137428749818357,18,30,1,3,imperial,imperial
q_14,In what county is William W. Blair's birthplace located?,Orleans County,Whatcom County,0.0,0.5,,53156,3,53207,5.538529707817361,2.590385250048712,11,30,5,3,"blair brothers, blairtown, sheridan, george blair, blaine",william w. blair
