question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,1668,6,1723,0.013011167058721185,1.5236790829803797,18,12,1,2,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,The Mask Of Fu Manchu,1.0,1.0,,2532,6,2588,0.02520754188299179,1.8361496669240296,21,30,2,2,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,"I cannot answer this question. The knowledge graph does not contain information about when John V, Prince Of Anhalt-Zerbst's father died.",0.0,0.0,,3300,30,3381,0.016211249865591526,1.5948399160988629,10,30,1,2,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,644,6,682,0.006267959019169211,1.4608631250448525,8,10,1,2,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",missoula,0.0,0.6666666666666666,,3272,2,3318,0.010598832974210382,1.5304324999451635,25,30,1,2,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,charles armand rené de la trémoille,1.0,1.0,,1237,12,1298,0.012362249894067645,1.7956267499830574,7,12,1,2,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,galați,1.0,1.0,,1928,3,1963,0.02139466698281467,1.4198820001911372,24,30,1,2,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,6421,1,6470,0.01470920816063881,1.0354804578237236,14,27,3,2,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,1125,5,1170,0.008950707968324423,1.4789559170603752,10,13,2,2,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,Ptolemy IX Lathyros,1.0,1.0,,1904,7,1957,0.021533583058044314,1.5565199579577893,4,30,1,2,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,crimen a las tres,0.0,0.0,,4646,5,4692,0.02289279201067984,0.7810641669202596,17,30,2,2,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,Once A Gentleman,1.0,1.0,,1699,3,1741,0.007366792066022754,0.6750898328609765,10,14,2,2,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,il seduttore,0.0,0.0,,6659,3,6706,0.015570541843771935,0.9144907919690012,17,30,2,2,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,,0.0,0.0,,4550,0,4597,0.004665625048801303,0.7413952499628067,2,4,1,2,thomas jefferson (film),thomas jefferson (film)
q_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,visiting her daughter Maria in Amorbach,0.0,0.0,,7633,8,7689,0.16089304187335074,1.0975548748392612,11,30,1,2,grand duke kirill vladimirovich of russia,grand duke kirill vladimirovich of russia
q_15,Where was the place of death of the director of film Beat Girl?,Nice,nice,1.0,1.0,,14442,1,14473,0.05503250006586313,1.0911877921316773,22,30,1,2,beat girl,beat girl
q_16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,Fleetwood Sheppard,1.0,1.0,,2223,3,2273,0.023881542030721903,0.8408082909882069,23,30,2,2,"fleetwood sheppard, george william whitaker","fleetwood sheppard, george william whitaker"
q_17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,The Raven's Dance,1.0,1.0,,1579,5,1628,0.00794474990107119,1.1948667080141604,13,17,2,2,"the raven's dance, keïta! l'héritage du griot","the raven's dance, keïta! l'héritage du griot"
q_18,When did Jean Martin (Singer)'s husband die?,1983,"""William Black"" --[founded]--> 'chock full o'nuts'
'jean martin' --[married to]--> 'william black'

The knowledge graph states that ""William Black was the founder of the Chock full o'Nuts restaurant",0.0,0.0,,7812,53,7908,0.03265125001780689,0.9892835419159384,25,30,5,2,"jean martin, carla jean martin, don martin, jean sharon, matthew quinn martin",jean martin (singer)
q_19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,Tangled Destinies,1.0,1.0,,3677,5,3719,0.013092458015307784,0.8681871669832617,14,23,2,2,"tangled destinies, the daltons' women","tangled destinies, the daltons' women"
q_20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,,3462,3,3513,0.014197167009115219,0.8218469999264926,21,30,2,2,"moment of danger, the ballad of josie","moment of danger, the ballad of josie"
q_21,What nationality is the director of film World And Time Enough?,United States,,0.0,0.0,,911,1,945,0.010543165961280465,0.5730108751449734,11,10,1,2,world and time enough,world and time enough
q_22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People,the machine to kill bad people,1.0,1.0,,2103,6,2145,0.008958750171586871,0.5900308748241514,12,15,2,2,"poker in bed, the machine to kill bad people","poker in bed, the machine to kill bad people"
q_23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose","Heads I Win, Tails You Lose",1.0,1.0,,3463,8,3507,0.010129834059625864,0.6055227499455214,22,27,2,2,"heads i win, tails you lose, the incredible sarah","heads i win, tails you lose, the incredible sarah"
q_24,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert,rupert iii of the palatinate,0.0,0.4,,2826,8,2872,0.02119687502272427,0.698704999871552,8,30,5,2,"catherine of pomerania, neumarkt, christiane henriette of zweibrücken- birkenfeld, countess palatine dorothea catherine of birkenfeld-bischweiler, pomerania","catherine of pomerania, countess palatine of neumarkt"
q_25,Who is Marie Zéphyrine Of France's paternal grandmother?,Marie Leszczyńska,marie leszczyńska,1.0,1.0,,3091,4,3141,0.007327208993956447,0.7860908750444651,12,15,1,2,marie zéphyrine of france,marie zéphyrine of france
q_26,"Which film has the director died earlier, Condemned Women or Faces In The Dark?",Condemned Women,"I cannot answer this question with the provided knowledge graph. The knowledge graph states the birth location of David Eady (director of Faces in the Dark) and the birth name of Lew Landers (director of Condemned Women), but it does not",0.0,0.1052631578947368,,3024,50,3120,0.010588750010356307,1.043586916057393,17,26,2,2,"condemned women, faces in the dark","condemned women, faces in the dark"
q_27,Who is the spouse of the director of film Eden And After?,Catherine Robbe-Grillet,catherine robbe-grillet,1.0,1.0,,759,7,809,0.010320249944925308,0.5503315420355648,6,9,1,2,eden and after,eden and after
q_28,Where was the place of death of Anastasia Of Serbia's husband?,Hilandar,Mount Athos,0.0,0.0,,1292,3,1326,0.00796983321197331,0.5603213750291616,10,15,1,2,anastasia of serbia,anastasia of serbia
q_29,Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,yes,South Korea,0.0,0.0,,2463,2,2513,0.013732458930462599,0.6833285419270396,28,30,2,2,"fire in hell, the tiger: an old hunter's tale","fire in hell, the tiger: an old hunter's tale"
q_30,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Placer Sangriento,Placer sangriento,1.0,1.0,,2217,5,2264,0.011354792164638638,0.7524206670932472,22,24,2,2,"lo zappatore, placer sangriento","lo zappatore, placer sangriento"
q_31,Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,Gwenc'Hlan Le Scouëzec,Gwenc'hlan,0.0,0.5,,1725,5,1770,0.010859958129003644,0.6455401668790728,13,17,3,2,"şemsettin baş, hersart de la villemarqué, llywarch hen","şemsettin baş, gwenc'hlan le scouëzec"
q_32,"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?",Bhoomiyude Avakashikal,The Majesty of the Law,0.0,0.0,,2447,5,2493,0.028353540925309062,0.7806537500582635,9,30,2,2,"bhoomiyude avakashikal, the majesty of the law","bhoomiyude avakashikal, the majesty of the law"
q_33,Who is Cornelia (Wife Of Caesar)'s child-in-law?,Pompey,scipio aemilianus,0.0,0.0,,1651,6,1704,0.012606000062078238,0.843220666050911,12,26,2,2,"cornelia, caesar","cornelia, caesar"
q_34,Why did John Middleton Murry's wife die?,tuberculosis,The provided knowledge graph does not contain information about why John Middleton Murry's wife died.,0.0,0.0,,6501,19,6564,0.03749620891176164,0.8514434159733355,16,30,1,2,john middleton murry,john middleton murry
q_35,Who is the paternal grandfather of Taj Al-Dawla?,Rukn al-Dawla,rukn al-dawla,1.0,1.0,,2581,6,2634,0.012934959027916193,0.7390750839840621,17,23,1,2,taj al-dawla,taj al-dawla
q_36,Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,yes,No,0.0,0.0,,7826,1,7866,0.014965834096074104,0.8420131672173738,27,30,2,2,"payment on demand, my cousin from warsaw","payment on demand, my cousin from warsaw"
q_37,What is the place of birth of the director of film And The Spring Comes?,Xi'an,xi'an,1.0,1.0,,637,3,686,0.005497292149811983,0.7565010830294341,7,8,1,2,and the spring comes,and the spring comes
q_38,"Who died first, Madame Pasca or James A. Donohoe?",Madame Pasca,I cannot answer this question with the provided knowledge. The knowledge graph and entity descriptions do not contain information about the death dates of Madame Pasca or James A. Donohoe.,0.0,0.1428571428571428,,350,36,425,0.006673292024061084,0.701732125133276,2,5,2,2,"madame pasca, james a. donohoe","madame pasca, james a. donohoe"
