question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,2239,6,2293,0.47406520787626505,1.6186001249589026,20,24,1,3,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,the mask of fu manchu,1.0,1.0,,2845,6,2898,0.6333696672227234,1.3613925001118332,21,30,2,3,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,Unknown,0.0,0.0,,3755,1,3786,0.5904510000254959,2.7022894581314176,21,30,1,3,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,644,6,695,0.2467298328410834,1.5128090421203524,8,10,1,3,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",missoula,0.0,0.6666666666666666,,2969,2,3013,0.39838341693393886,1.4376815408468246,18,30,1,3,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,charles armand rené de la trémoille,1.0,1.0,,3901,12,3939,0.2985900829080492,1.4257066249847412,4,30,1,3,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,galați,1.0,1.0,,1836,3,1886,0.355300041846931,1.6074979999102652,26,30,1,3,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,6579,1,6614,0.40038958308286965,1.6176732908934355,14,30,3,3,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,7163,5,7206,0.21721983305178583,1.5443167090415955,25,30,2,3,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,antiochus ix cyzicenus,0.0,0.3333333333333333,,1881,8,1929,0.25487241707742214,1.3326870831660926,3,30,1,3,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,Crimen a las tres,0.0,0.0,,4554,5,4597,0.10344449989497662,0.7135870831552893,17,30,2,3,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,Once A Gentleman,1.0,1.0,,3111,3,3161,0.03752437513321638,0.7120105419307947,14,30,2,3,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,Il seduttore,0.0,0.0,,6716,3,6756,0.12801708397455513,0.732200917089358,19,30,2,3,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,'ken burns',0.0,0.0,,10430,4,10481,0.06791145796887577,1.1023590001277626,28,30,1,3,thomas jefferson (film),thomas jefferson (film)
q_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,'visiting her daughter maria in amorbach',0.0,0.0,,8552,10,8610,0.9691075407899916,1.314611333888024,20,30,1,3,grand duke kirill vladimirovich of russia,grand duke kirill vladimirovich of russia
q_15,Where was the place of death of the director of film Beat Girl?,Nice,nice,1.0,1.0,,11914,1,11956,0.7942051670979708,0.9630694158840925,20,30,1,3,beat girl,beat girl
q_16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,fleetwood sheppard,1.0,1.0,,2226,4,2276,0.17709470889531076,0.9134709159843624,24,30,2,3,"fleetwood sheppard, george william whitaker","fleetwood sheppard, george william whitaker"
q_17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,The Raven's Dance,1.0,1.0,,2802,5,2848,0.028670792002230883,0.6059882920235395,21,30,2,3,"the raven's dance, keïta! l'héritage du griot","the raven's dance, keïta! l'héritage du griot"
q_18,When did Jean Martin (Singer)'s husband die?,1983,None,0.0,0.0,,7818,1,7856,0.28087237500585616,0.8099459169898182,25,30,5,3,"jean martin, carla jean martin, don martin, jean sharon, matthew quinn martin",jean martin (singer)
q_19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,Tangled Destinies,1.0,1.0,,5151,5,5204,0.06984841614030302,0.7975717079825699,16,30,2,3,"tangled destinies, the daltons' women","tangled destinies, the daltons' women"
q_20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,,3487,3,3534,0.11921683396212757,0.7521056251134723,22,30,2,3,"moment of danger, the ballad of josie","moment of danger, the ballad of josie"
q_21,What nationality is the director of film World And Time Enough?,United States,united states,1.0,1.0,,5867,2,5917,0.018625082913786173,0.7395255831070244,22,19,1,3,world and time enough,world and time enough
q_22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People,the machine to kill bad people,1.0,1.0,,7293,6,7346,0.039299333933740854,0.8016595840454102,12,30,2,3,"poker in bed, the machine to kill bad people","poker in bed, the machine to kill bad people"
q_23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose","Heads I Win, Tails You Lose",1.0,1.0,,3952,8,3999,0.04654191597364843,0.7637630421668291,26,30,2,3,"heads i win, tails you lose, the incredible sarah","heads i win, tails you lose, the incredible sarah"
q_24,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert,rupert iii of the palatinate,0.0,0.4,,4189,8,4245,0.08914300007745624,0.9146824169438332,10,30,5,3,"catherine of pomerania, neumarkt, christiane henriette of zweibrücken- birkenfeld, countess palatine dorothea catherine of birkenfeld-bischweiler, pomerania","catherine of pomerania, countess palatine of neumarkt"
q_25,Who is Marie Zéphyrine Of France's paternal grandmother?,Marie Leszczyńska,marie leszczyńska,1.0,1.0,,7440,4,7492,0.03931208304129541,0.7982358748558909,20,30,1,3,marie zéphyrine of france,marie zéphyrine of france
q_26,"Which film has the director died earlier, Condemned Women or Faces In The Dark?",Condemned Women,Condemned Women,1.0,1.0,,3318,4,3369,0.04194899997673929,0.8225475000217557,22,30,2,3,"condemned women, faces in the dark","condemned women, faces in the dark"
q_27,Who is the spouse of the director of film Eden And After?,Catherine Robbe-Grillet,catherine robbe-grillet,1.0,1.0,,3849,7,3883,0.02382612507790327,0.6263420828618109,17,23,1,3,eden and after,eden and after
q_28,Where was the place of death of Anastasia Of Serbia's husband?,Hilandar,serbian grand principality,0.0,0.0,,2052,5,2108,0.0298808750230819,0.7803459169808775,14,30,1,3,anastasia of serbia,anastasia of serbia
q_29,Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,yes,No,0.0,0.0,,2484,1,2535,0.03757662489078939,4.340158458100632,28,30,2,3,"fire in hell, the tiger: an old hunter's tale","fire in hell, the tiger: an old hunter's tale"
q_30,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Placer Sangriento,Placer Sangriento,1.0,1.0,,5355,5,5406,0.04348620888777077,1.0412160421255976,23,30,2,3,"lo zappatore, placer sangriento","lo zappatore, placer sangriento"
q_31,Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,Gwenc'Hlan Le Scouëzec,Gwenc'hlan,0.0,0.5,,2150,5,2192,0.039249208057299256,2.07466108398512,13,30,3,3,"şemsettin baş, hersart de la villemarqué, llywarch hen","şemsettin baş, gwenc'hlan le scouëzec"
q_32,"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?",Bhoomiyude Avakashikal,Bhoomiyude Avakashikal,1.0,1.0,,2384,8,2439,0.10148720792494714,0.6472508751321584,11,30,2,3,"bhoomiyude avakashikal, the majesty of the law","bhoomiyude avakashikal, the majesty of the law"
q_33,Who is Cornelia (Wife Of Caesar)'s child-in-law?,Pompey,scipio aemilianus,0.0,0.0,,1995,6,2048,0.03625108394771814,1.0469132920261472,12,30,2,3,"cornelia, caesar","cornelia, caesar"
q_34,Why did John Middleton Murry's wife die?,tuberculosis,The provided knowledge graph does not contain information about why John Middleton Murry's wife died.,0.0,0.0,,6602,19,6665,0.3552057498600334,1.5255144578404725,15,30,1,3,john middleton murry,john middleton murry
q_35,Who is the paternal grandfather of Taj Al-Dawla?,Rukn al-Dawla,rukn al-dawla,1.0,1.0,,2979,6,3024,0.09047420811839402,0.8093075409997255,11,30,1,3,taj al-dawla,taj al-dawla
q_36,Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,yes,no,0.0,0.0,,7832,1,7878,0.20866262493655086,0.7655438329093158,25,30,2,3,"payment on demand, my cousin from warsaw","payment on demand, my cousin from warsaw"
q_37,What is the place of birth of the director of film And The Spring Comes?,Xi'an,xi'an,1.0,1.0,,1143,3,1178,0.011635083006694913,0.5614795831497759,12,15,1,3,and the spring comes,and the spring comes
q_38,"Who died first, Madame Pasca or James A. Donohoe?",Madame Pasca,I cannot answer this question. The provided knowledge graph and entity descriptions do not contain information about the birth or death dates of Madame Pasca or James A. Donohoe.,0.0,0.14285714285714288,,350,35,424,0.007906042039394379,0.7318793749436736,2,5,2,3,"madame pasca, james a. donohoe","madame pasca, james a. donohoe"
q_39,"Who was born later, D'Arcy Coulson or Thomas William Adams?",D'Arcy Coulson,Thomas William Adams,0.0,0.0,,4919,3,4963,0.1675212918780744,0.7700308749917895,20,30,4,3,"james d'arcy, sir lucas dillon, alfred albert thomas william adams, graveley","d'arcy coulson, thomas william adams"
q_40,Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?,no,no,1.0,1.0,,7696,1,7730,0.786033625015989,1.253923166077584,19,30,3,3,"simonds catholic college, eagle mountain-saginaw independent school district, saginaw high school","simonds catholic college, saginaw high school (texas)"
q_41,Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?,German,Germany,0.0,0.0,,4703,1,4754,0.022059292066842318,0.7600603750906885,18,30,1,3,prince nikolaus wilhelm of nassau,prince nikolaus wilhelm of nassau
q_42,"Which film whose director was born first, 45 Fathers or The Intended?",45 Fathers,45 Fathers,1.0,1.0,,2687,3,2740,0.3135964588727802,0.9017580840736628,20,30,2,3,"45 fathers, the intended","45 fathers, the intended"
q_43,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",Louis-Alexandre Berthier,louis-alexandre berthier,1.0,1.0,,4031,7,4088,0.6852208750788122,0.7065535830333829,14,30,5,3,"louis philippe marie alexandre berthier, louis-alexandre berthier, 1st prince of wagram, napoléon alexandre berthier, 2nd prince of wagram, wagram, alexandre louis philippe marie berthier","alexandre berthier, 3rd prince of wagram"
q_44,Where was the husband of Caterina Visconti born?,Pavia,bianca of savoy,0.0,0.0,,4674,5,4724,0.08849133411422372,0.7344044169876724,18,30,1,3,caterina visconti,caterina visconti
q_45,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",A Quiet Place In The Country,A Quiet Place in the Country,1.0,1.0,,7074,6,7123,0.06711495784111321,0.9056698339991271,27,30,3,3,"a quiet place in the country, chris shepherd, i am breathing","a quiet place in the country, when were you born?"
q_46,"Who was born first, John Beach or Gordon Persons?",John Beach,,0.0,0.0,,2087,0,2134,0.16587029211223125,0.8185325409285724,19,30,2,3,"john beach, gordon persons","john beach, gordon persons"
q_47,"Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?",Charlie Chan In Honolulu,The House By The Cemetery,0.0,0.0,,1370,5,1421,0.12942441692575812,0.7569651671219617,11,30,2,3,"the house by the cemetery, charlie chan in honolulu","the house by the cemetery, charlie chan in honolulu"
q_48,Who is the child of the director of film La Leona (Film)?,Víctor Bó,None of the above.,0.0,0.0,,4375,5,4420,0.36933791590854526,0.7657044171355665,22,30,5,3,"la bandera, leonora of the seven seas, the legend, melina león, lupe ontiveros",la leona (film)
q_49,Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,Urraca of Castile,urraca of castile,1.0,1.0,,5340,5,5391,0.6794756250455976,1.104645041981712,4,30,5,3,"blanche of portugal, afonso iii of portugal, santarém, burgos, beatrice of castile",blanche of portugal (1259–1321)
q_50,"Who lived longer, Giuseppe Cesari or Nicos Poulantzas?",Giuseppe Cesari,"None of the entities in the knowledge graph provide birth or death dates for Giuseppe Cesari or Nicos Poulantzas, so it is not possible to determine who lived longer.",0.0,0.13793103448275862,,6889,35,6963,0.5487530841492116,1.1011665840633214,24,30,2,3,"giuseppe cesari, nicos poulantzas","giuseppe cesari, nicos poulantzas"
q_51,Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,yes,yes,1.0,1.0,,12227,1,12263,0.4305890838149935,1.1009841670747846,21,30,3,3,"nights on the road, swann in love, in search of lost time","nights on the road, swann in love (film)"
q_52,"Who is older, Aryeh Ben-Eliezer or Jason Pociask?",Aryeh Ben-Eliezer,I cannot answer this question. The knowledge graph does not contain information about the birth dates or ages of Aryeh Ben-Eliezer or Jason Pociask.,0.0,0.16666666666666669,,6418,33,6500,0.032233333913609385,0.8710251250304282,26,30,2,3,"aryeh ben-eliezer, jason pociask","aryeh ben-eliezer, jason pociask"
q_53,Where does the director of film Man At Bath work at?,Cahiers du cinéma,les cahiers du cinéma,0.0,0.8571428571428571,,4364,5,4416,0.08784362487494946,0.6178651661612093,24,30,1,3,man at bath,man at bath
q_54,"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?","Sir Arthur Gore, 2nd Baronet","arthur gore, 1st earl of arran",0.0,0.3636363636363636,,2985,11,3045,0.058358540991321206,0.8161680409684777,21,30,1,3,"arthur gore, 2nd earl of arran","arthur gore, 2nd earl of arran"
q_55,Are both Kaufland and Otrag located in the same country?,yes,yes,1.0,1.0,,11534,1,11582,0.5630283749196678,1.2812706250697374,15,30,2,3,"kaufland, otrag","kaufland, otrag"
q_56,"Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?",Heroes Of The Street,Heroes of the Street,1.0,1.0,,1916,4,1963,0.06932062492705882,0.5880332090891898,20,30,2,3,"aanaval mothiram, heroes of the street","aanaval mothiram, heroes of the street"
q_57,Where was the father of Lord Patrick Crichton-Stuart born?,London,"grosvenor square, london",0.0,0.5,,3465,6,3522,0.06893783411942422,0.8112517499830574,23,30,1,3,lord patrick crichton-stuart,lord patrick crichton-stuart
q_58,Which country the director of film Daadagiri is from?,Pakistan,pakistan,1.0,1.0,,6231,2,6281,0.11207324988208711,0.7220959579572082,19,30,1,3,daadagiri,daadagiri
q_59,Where was the wife of Douglas Leiterman born?,"Winnipeg, Manitoba",The knowledge graph does not contain information about where the wife of Douglas Leiterman was born.,0.0,0.0,,2702,18,2762,0.1553744999691844,1.0017772079445422,28,30,1,3,douglas leiterman,douglas leiterman
q_60,What is the place of birth of the performer of song Who...?,Fukuoka,fukuoka,1.0,1.0,,2477,2,2527,0.06968225003220141,0.6101157090160996,12,30,1,3,who...,who...
q_61,Where was the place of death of the director of film Mole Men Against The Son Of Hercules?,Roma,gardone rivera,0.0,0.0,,5131,4,5167,0.26223583286628127,0.814238958992064,18,30,5,3,"antonio leonviola, maciste, the strongest man in the world, mark forest, the tyrant of lydia against the son of hercules, antonio margheriti",mole men against the son of hercules
q_62,Where was the father of Alexandre Gaydamak born?,"Moscow, USSR",moscow,0.0,0.6666666666666666,,8023,2,8072,1.4686564579606056,0.7619394171051681,18,30,1,3,alexandre gaydamak,alexandre gaydamak
q_63,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",Toen 'T Licht Verdween,toen 't licht verdween,1.0,1.0,,3505,7,3559,0.027827667072415352,1.3554298328235745,26,30,2,3,"toen 't licht verdween, boum sur paris","toen 't licht verdween, boum sur paris"
q_64,"Who is Gaston, Duke Of Orléans's paternal grandmother?",Jeanne d'Albret,marie de' medici,0.0,0.0,,4999,4,5052,1.74039874994196,0.8564170838799328,5,30,5,3,"gaston d'orléans, gaston, duke of orléans, marie d'orléans, gaston iv of foix-grailly, king louis xiii","gaston, duke of orl&#233;ans"
q_65,Where was the director of film The Half-Way Girl born?,New York,new york state,0.0,0.8,,10178,3,10228,0.541270500048995,0.740982374874875,27,30,1,3,the half-way girl,the half-way girl
q_66,Who is the father-in-law of Sophia Of Wittelsbach?,Louis II,louis ii,1.0,1.0,,2777,3,2830,0.47431920911185443,0.6256903749890625,12,30,1,3,sophia of wittelsbach,sophia of wittelsbach
q_67,"Where was the place of death of Lambert I, Count Of Louvain's father?",Bohemia,hainaut,0.0,0.0,,2780,2,2832,0.5399629580788314,0.7311147921718657,20,30,1,3,"lambert i, count of louvain","lambert i, count of louvain"
q_68,Where was the director of film Highway Dragnet born?,Gura Humorului,gura humorului,1.0,1.0,,2059,4,2102,0.41631866712123156,0.6404817090369761,21,30,1,3,highway dragnet,highway dragnet
q_69,Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?,Meran,obermais,0.0,0.0,,6413,2,6453,0.22363104205578566,1.0118434589821845,18,30,1,3,prince gustav of thurn and taxis,prince gustav of thurn and taxis
q_70,What is the award that the performer of song Sunday Papers earned?,Grammy,grammy award,0.0,0.6666666666666666,,8670,3,8708,0.44358891691081226,0.7788677499629557,24,30,1,3,sunday papers,sunday papers
q_71,"Which film has the director born first, Antonieta or Dodging The Dole?",Dodging The Dole,Dodging The Dole,1.0,1.0,,6229,4,6272,0.37725179200060666,0.8459235830232501,22,30,2,3,"antonieta, dodging the dole","antonieta, dodging the dole"
q_72,Are both Nikolsk Airport and Svobodny Airport located in the same country?,yes,yes,1.0,1.0,,3337,1,3388,0.16354987514205277,0.7263859589584172,18,30,2,3,"nikolsk airport, svobodny airport","nikolsk airport, svobodny airport"
