question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,1899,6,1953,1.5056998329237103,1.7229619580321014,0,30,0,0,,
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,The Mask Of Fu Manchu,1.0,1.0,,1666,6,1706,0.31356079201214015,1.5024011658970269,0,30,0,0,,
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,1516,0.0,0.5,,1672,4,1722,0.6175107501912862,1.591024083085358,0,30,0,0,,
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,2237,6,2291,0.30862379213795066,1.7024073749780655,0,30,0,0,,
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",No paths found.,0.0,0.0,,1035,4,1086,0.617247249931097,1.5361593330744654,0,30,0,0,,
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,Jean Bretagne Charles de La Trémoille,0.0,0.6666666666666666,,1294,9,1344,0.3190092081204057,1.5332887498661876,0,30,0,0,,
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,galați,1.0,1.0,,1036,3,1071,0.6479779160581529,1.607539791846648,0,30,0,0,,
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,No paths found.,0.0,0.5,,1523,4,1571,0.4070966658182442,1.7504681248683482,0,30,0,0,,
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,1400,5,1453,0.5531894171144813,1.6269886249210683,0,30,0,0,,
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,No paths found.,0.0,0.0,,1079,4,1119,0.46820966713130474,1.4691866668872535,0,30,0,0,,
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,Crimen a las tres,0.0,0.0,,1367,5,1408,0.8961217089090496,0.663405291037634,0,30,0,0,,
