question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,miquette giraudy,1.0,1.0,,25903,4,25944,0.8322978750802577,1.3637920001056043,20,30,1,3,green,green
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,morris mike medavoy,0.0,0.8,,26346,6,26396,1.0365585000254214,1.813047458883375,20,30,5,3,"uhf (film), orion pictures, tulsa, oklahoma, midnight fm, bluebox limited films",uhf
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,tamaulipas,1.0,1.0,,5216,3,5267,0.03908241703175008,1.7089364170096817,15,30,1,3,ciudad deportiva,ciudad deportiva
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,german aerospace center,0.0,0.0,,8199,3,8251,0.1899217909667641,1.6190690419171003,24,30,1,3,ulrich walter,ulrich walter
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,bombardier inc.,1.0,1.0,,2015,4,2062,0.06523679220117629,1.526336207985878,13,30,5,3,"learjet, pw305a, bombardier inc., avro rj70, avro rj100",learjet 60
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,hannah cornell,0.0,0.0,,44887,4,44935,7.049418582813814,2.3802346671000123,17,30,5,3,"leroy, herman leroy, le roy, caroline leroy webster, breton ar roue",caroline leroy
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,anne of austria,0.0,0.0,,32005,4,32051,5.369911208981648,1.69219920784235,20,30,5,3,"philippe i, duke of orléans, philippe ii, duke of orléans, philippe, louis philippe, françois d'orléans, prince of joinville","philippe, duke of orl&#233;ans"
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,promoting European integration and disseminating information about it,0.0,0.4,,328,8,365,0.01477716607041657,1.6916180830448866,2,4,1,3,european movement germany,european movement germany
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,time warner cable,1.0,1.0,,29651,4,29689,2.279411124996841,1.2694272499065846,13,30,1,3,empire sports network,empire sports network
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,cabo delgado province,1.0,1.0,,3649,4,3700,0.04210933391004801,1.5979104170110077,23,30,1,3,lago district,lago district
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,lega pro,0.0,0.6666666666666666,,11332,2,11382,0.03800370800308883,1.014170584036037,25,30,1,3,stadio ciro vigorito,stadio ciro vigorito
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,the anderson tapes,1.0,1.0,,569,4,610,0.009917000075802207,0.7970532497856766,4,7,1,3,the timothy files,the timothy files
q_12,In which borough was Callum McManaman born?,Knowsley,metropolitan borough of knowsley,0.0,0.4,,7271,6,7308,0.17639570916071534,1.0562237498816105,18,30,1,3,callum mcmanaman,callum mcmanaman
q_13,What other county does the county where Imperial is located share a border with?,Crockett County,crockett county,1.0,1.0,,20443,4,20478,0.14668620796874166,1.550696082878858,20,30,1,3,imperial,imperial
q_14,In what county is William W. Blair's birthplace located?,Orleans County,sweetwater county,0.0,0.5,,30185,3,30217,5.170602499973029,3.082583290990442,19,30,5,3,"blair brothers, blairtown, sheridan, george blair, blaine",william w. blair
q_15,What award did the author of The Red Tree receive?,Academy Award for Best Animated Short Film,academy award,0.0,0.4444444444444445,,1016,2,1068,0.018253833055496216,0.8715257090516388,3,6,1,3,the red tree,the red tree
q_16,Where was Tyler MacDuff's child educated?,Blair High School,blair high school,1.0,1.0,,7134,4,7174,0.1672857089433819,0.7848990419879556,7,30,5,3,"macduff, dana andrews, beverlie may anderson, blair high school, tyler blackburn",tyler macduff
q_17,Who is the spouse of the Rabbit Hole's producer?,Keith Urban,,0.0,0.0,,18029,0,18076,0.21951812505722046,1.1639729999005797,20,30,5,3,"blossom films, echo falls, down the rabbit hole, rabbit ears productions, ingrid",rabbit hole
q_18,Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,king gustav vasa,0.0,0.0,,4225,5,4277,0.08953649993054569,0.8356972080655396,14,30,5,3,"sigrid eskilsdotter (banér), märta erikdotter leijonhufvud, svante stensson sture, siri dannevig, margaret leijonhufvud",sigrid eskilsdotter
q_19,In which county is Kimbrough Memorial Stadium located?,Randall County,randall county,1.0,1.0,,22854,3,22904,0.029274041997268796,1.4934509580489248,17,30,1,3,kimbrough memorial stadium,kimbrough memorial stadium
q_20,What record label is the performer of Almost Made Ya signed to?,Derrty Entertainment,derrty entertainment,1.0,1.0,,2850,3,2900,0.03816929110325873,0.8421518339309841,12,30,1,3,almost made ya,almost made ya
q_21,Where was the author of Hannibal and Scipio educated at?,Exeter College,Florence,0.0,0.0,,11298,1,11340,0.6626044590957463,1.118049249984324,15,30,3,3,"hannibal, scipio aemilianus, publius scipio","hannibal, scipio"
q_22,In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,charles county,1.0,1.0,,17319,3,17368,0.016290584113448858,1.20617025019601,18,30,1,3,southern maryland electric cooperative,southern maryland electric cooperative
q_23,Who is the child of the Victim of Romance performer?,Chynna Phillips,chynna phillips,1.0,1.0,,742,5,791,0.007350584026426077,0.6960103749297559,6,7,1,3,victim of romance,victim of romance
q_24,What county was Tim Dubois born in?,McDonald County,mcdonald county,1.0,1.0,,17616,5,17666,0.26834991690702736,1.2830773750320077,20,30,1,3,tim dubois,tim dubois
q_25,What record label did the person who is part of The Bruce Lee Band start?,Asian Man Records,dill records,0.0,0.4,,513,3,547,0.0067211659625172615,0.79641641699709,5,7,1,3,the bruce lee band,the bruce lee band
q_26,What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,emilia galotti,1.0,1.0,,39409,4,39460,0.9843837080989033,2.168821624945849,16,30,1,3,miss sara sampson,miss sara sampson
q_27,What instrument is played by the person from The Blackout All-Stars?,conga,conga,1.0,1.0,,1559,2,1609,0.013858417049050331,0.9698501247912644,17,21,1,3,the blackout all-stars,the blackout all-stars
q_28,What is the seat of the county where Van Hook Township is located?,Stanley,mountrail county courthouse,0.0,0.0,,4400,4,4450,0.04501762497238815,1.038138958159834,27,30,1,3,van hook township,van hook township
q_29,"Who is the father of Edward Baring, 1st Baron Revelstoke's father?","Sir Francis Baring, 1st Baronet","sir francis baring, 1st baronet",1.0,1.0,,24332,10,24390,1.8717519592028111,1.2641125000081956,18,30,5,3,"baring family, sir francis baring, 1st baronet, henry baring, lieutenant-general charles baring, godfrey baring","edward baring, 1st baron revelstoke"
q_30,What group was the performer of Be the One a member of?,Jackson 5,the jackson 5,1.0,1.0,,2158,5,2212,0.020015333080664277,0.7600313329603523,16,21,1,3,be the one,be the one
q_31,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Eddie Argos,eddie argos,1.0,1.0,,310,4,342,0.0057030420284718275,0.6471896669827402,1,4,1,3,bang bang rock & roll,bang bang rock & roll
q_32,What is the network which National Cycle Route 57 is part of an example of?,national cycling route network,national cycle network,0.0,0.5714285714285715,,35498,3,35549,0.14571879198774695,1.4264159579761326,14,30,1,3,national cycle route 57,national cycle route 57
q_33,Who is the spouse of the child of Peter Andreas Heiberg?,Johanne Luise Heiberg,johanne luise heiberg,1.0,1.0,,1838,7,1877,0.011457040905952454,0.7373126249294728,14,16,1,3,peter andreas heiberg,peter andreas heiberg
