question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,2239,6,2291,0.24828145909123123,1.609922624891624,20,24,1,3,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,the mask of fu manchu,1.0,1.0,,2464,6,2519,0.5221098340116441,1.57113099982962,22,30,2,3,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,12 June 1516,1.0,1.0,,3501,8,3558,0.2599039999768138,1.590577458962798,18,30,1,3,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,1519,6,1557,0.24236525013111532,1.5601085829548538,15,30,1,3,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",missoula,0.0,0.6666666666666666,,3178,2,3227,0.25007491698488593,1.7287670830264688,26,30,1,3,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,charles armand rené de la trémoille,1.0,1.0,,3936,12,3997,0.24899683403782547,1.7200297920498997,5,30,1,3,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,The knowledge graph does not contain information about where the father of Ștefan I. Nenițescu was born.,0.0,0.0,,1719,24,1789,0.38553254189901054,1.6303988341242075,28,30,1,3,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,6762,1,6809,0.547915417002514,1.7575806248933077,18,30,3,3,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,7105,5,7147,0.48770858300849795,1.6715537919662893,21,30,2,3,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,antiochus ix cyzicenus,0.0,0.3333333333333333,,1782,8,1833,0.2627570419572294,1.559071334078908,2,30,1,3,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,Crimen a las tres,0.0,0.0,,3399,5,3444,0.5205532920081168,0.6897619999945164,15,30,2,3,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,once a gentleman,1.0,1.0,,2994,3,3040,0.4938309998251498,0.6651419580448419,15,30,2,3,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,the trial of joan of arc,1.0,1.0,,5333,7,5377,0.5378912501037121,0.8121680829208344,19,30,2,3,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,'ken burns',0.0,0.0,,9040,4,9091,0.24884058278985322,0.7913189160171896,28,30,1,3,thomas jefferson (film),thomas jefferson (film)
q_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,The provided knowledge graph does not contain information about the cause of death of Grand Duke Kirill Vladimirovich of Russia's wife.,0.0,0.0,,15994,27,16055,0.5438912911340594,1.1995234170462936,15,30,1,3,grand duke kirill vladimirovich of russia,grand duke kirill vladimirovich of russia
q_15,Where was the place of death of the director of film Beat Girl?,Nice,nice,1.0,1.0,,13259,1,13302,0.42916404106654227,1.0401668339036405,25,30,1,3,beat girl,beat girl
q_16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,Fleetwood Sheppard,1.0,1.0,,2093,3,2139,0.5030329579021782,0.6288669998757541,21,30,2,3,"fleetwood sheppard, george william whitaker","fleetwood sheppard, george william whitaker"
q_17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,the raven's dance,1.0,1.0,,2527,5,2581,0.4969502498861402,0.6468808748759329,21,30,2,3,"the raven's dance, keïta! l'héritage du griot","the raven's dance, keïta! l'héritage du griot"
q_18,When did Jean Martin (Singer)'s husband die?,1983,'william black',0.0,0.0,,8874,5,8925,0.3320500410627574,1.2958980000112206,24,30,5,3,"jean martin, carla jean martin, don martin, jean sharon, matthew quinn martin",jean martin (singer)
q_19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,Tangled Destinies,1.0,1.0,,4262,5,4308,0.48936412506736815,0.7175035830587149,20,30,2,3,"tangled destinies, the daltons' women","tangled destinies, the daltons' women"
q_20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,,7482,3,7535,0.5274391667917371,0.8732923329807818,25,30,2,3,"moment of danger, the ballad of josie","moment of danger, the ballad of josie"
q_21,What nationality is the director of film World And Time Enough?,United States,American,0.0,0.0,,7649,1,7701,0.26954254205338657,0.7225212091580033,25,21,1,3,world and time enough,world and time enough
q_22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People,the machine to kill bad people,1.0,1.0,,5808,6,5850,0.4883328750729561,6.1433583330363035,12,30,2,3,"poker in bed, the machine to kill bad people","poker in bed, the machine to kill bad people"
q_23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose","Heads I Win, Tails You Lose",1.0,1.0,,3689,8,3744,0.5022467919625342,0.7739239581860602,23,30,2,3,"heads i win, tails you lose, the incredible sarah","heads i win, tails you lose, the incredible sarah"
